Province/State,Country/Region,Lat,Long,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020,7/15/2020,7/16/2020,7/17/2020,7/18/2020,7/19/2020,7/20/2020,7/21/2020,7/22/2020,7/23/2020,7/24/2020,7/25/2020,7/26/2020,7/27/2020,7/28/2020,7/29/2020,7/30/2020,7/31/2020,8/1/2020,8/2/2020,8/3/2020,8/4/2020,8/5/2020,8/6/2020,8/7/2020,8/8/2020,8/9/2020,8/10/2020,8/11/2020,8/12/2020,8/13/2020,8/14/2020,8/15/2020,8/16/2020,8/17/2020,8/18/2020,8/19/2020,8/20/2020,8/21/2020,8/22/2020,8/23/2020,8/24/2020,8/25/2020,8/26/2020,8/27/2020,8/28/2020,8/29/2020,8/30/2020,8/31/2020,9/1/2020,9/2/2020,9/3/2020,9/4/2020,9/5/2020,9/6/2020,9/7/2020,9/8/2020,9/9/2020,9/10/2020,9/11/2020,9/12/2020,9/13/2020,9/14/2020,9/15/2020,9/16/2020,9/17/2020,9/18/2020,9/19/2020,9/20/2020,9/21/2020,9/22/2020,9/23/2020,9/24/2020,9/25/2020,9/26/2020,9/27/2020,9/28/2020,9/29/2020,9/30/2020,10/1/2020,10/2/2020,10/3/2020,10/4/2020,10/5/2020,10/6/2020,10/7/2020,10/8/2020,10/9/2020,10/10/2020,10/11/2020,10/12/2020,10/13/2020,10/14/2020,10/15/2020,10/16/2020,10/17/2020,10/18/2020,10/19/2020,10/20/2020,10/21/2020,10/22/2020,10/23/2020,10/24/2020,10/25/2020,10/26/2020,10/27/2020,10/28/2020,10/29/2020,10/30/2020,10/31/2020,11/1/2020,11/2/2020,11/3/2020,11/4/2020,11/5/2020,11/6/2020,11/7/2020,11/8/2020,11/9/2020,11/10/2020,11/11/2020,11/12/2020,11/13/2020,11/14/2020,11/15/2020,11/16/2020,11/17/2020,11/18/2020,11/19/2020,11/20/2020,11/21/2020,11/22/2020,11/23/2020,11/24/2020,11/25/2020,11/26/2020,11/27/2020,11/28/2020,11/29/2020,11/30/2020,12/1/2020,12/2/2020,12/3/2020,12/4/2020,12/5/2020,12/6/2020,12/7/2020,12/8/2020,12/9/2020,12/10/2020,12/11/2020,12/12/2020,12/13/2020,12/14/2020,12/15/2020,12/16/2020,12/17/2020,12/18/2020,12/19/2020,12/20/2020,12/21/2020,12/22/2020,12/23/2020,12/24/2020,12/25/2020,12/26/2020,12/27/2020,12/28/2020,12/29/2020,12/30/2020,12/31/2020,1/1/2021,1/2/2021,1/3/2021,1/4/2021,1/5/2021,1/6/2021,1/7/2021,1/8/2021,1/9/2021,1/10/2021,1/11/2021,1/12/2021,1/13/2021,1/14/2021,1/15/2021,1/16/2021,1/17/2021,1/18/2021,1/19/2021,1/20/2021,1/21/2021,1/22/2021,1/23/2021,1/24/2021,1/25/2021,1/26/2021,1/27/2021,1/28/2021,1/29/2021,1/30/2021,1/31/2021,2/1/2021,2/2/2021,2/3/2021,2/4/2021,2/5/2021,2/6/2021,2/7/2021,2/8/2021,2/9/2021,2/10/2021,2/11/2021,2/12/2021,2/13/2021,2/14/2021,2/15/2021,2/16/2021,2/17/2021,2/18/2021,2/19/2021,2/20/2021,2/21/2021,2/22/2021,2/23/2021,2/24/2021,2/25/2021,2/26/2021,2/27/2021,2/28/2021,3/1/2021,3/2/2021,3/3/2021,3/4/2021,3/5/2021,3/6/2021,3/7/2021,3/8/2021,3/9/2021,3/10/2021,3/11/2021,3/12/2021,3/13/2021,3/14/2021,3/15/2021,3/16/2021,3/17/2021,3/18/2021,3/19/2021,3/20/2021,3/21/2021,3/22/2021,3/23/2021,3/24/2021,3/25/2021,3/26/2021,3/27/2021,3/28/2021,3/29/2021,3/30/2021,3/31/2021,4/1/2021,4/2/2021,4/3/2021,4/4/2021,4/5/2021,4/6/2021,4/7/2021,4/8/2021,4/9/2021,4/10/2021,4/11/2021,4/12/2021,4/13/2021,4/14/2021,4/15/2021,4/16/2021,4/17/2021,4/18/2021,4/19/2021,4/20/2021,4/21/2021,4/22/2021,4/23/2021,4/24/2021,4/25/2021,4/26/2021,4/27/2021,4/28/2021,4/29/2021,4/30/2021,5/1/2021,5/2/2021,5/3/2021,5/4/2021,5/5/2021,5/6/2021,5/7/2021,5/8/2021,5/9/2021,5/10/2021,5/11/2021,5/12/2021,5/13/2021,5/14/2021,5/15/2021,5/16/2021,5/17/2021,5/18/2021,5/19/2021,5/20/2021,5/21/2021,5/22/2021,5/23/2021,5/24/2021,5/25/2021,5/26/2021,5/27/2021,5/28/2021,5/29/2021,5/30/2021,5/31/2021,6/1/2021,6/2/2021,6/3/2021,6/4/2021,6/5/2021,6/6/2021,6/7/2021,6/8/2021,6/9/2021,6/10/2021,6/11/2021,6/12/2021,6/13/2021,6/14/2021,6/15/2021,6/16/2021,6/17/2021,6/18/2021,6/19/2021,6/20/2021,6/21/2021,6/22/2021,6/23/2021,6/24/2021,6/25/2021,6/26/2021,6/27/2021,6/28/2021,6/29/2021,6/30/2021,7/1/2021,7/2/2021,7/3/2021,7/4/2021,7/5/2021,7/6/2021,7/7/2021,7/8/2021,7/9/2021,7/10/2021,7/11/2021,7/12/2021,7/13/2021,7/14/2021,7/15/2021,7/16/2021,7/17/2021,7/18/2021,7/19/2021,7/20/2021,7/21/2021,7/22/2021,7/23/2021,7/24/2021,7/25/2021,7/26/2021,7/27/2021,7/28/2021,7/29/2021,7/30/2021,7/31/2021,8/1/2021,8/2/2021,8/3/2021,8/4/2021,8/5/2021,8/6/2021,8/7/2021,8/8/2021,8/9/2021,8/10/2021,8/11/2021,8/12/2021,8/13/2021,8/14/2021,8/15/2021,8/16/2021,8/17/2021,8/18/2021,8/19/2021,8/20/2021,8/21/2021,8/22/2021,8/23/2021,8/24/2021,8/25/2021,8/26/2021,8/27/2021,8/28/2021,8/29/2021
British Columbia,Canada,53.7267,-127.6476,1,1,1,1,2,2,4,4,4,4,4,4,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,9,12,13,21,21,27,32,32,39,46,64,64,73,103,103,186,231,271,424,424,472,617,617,725,725,884,884,970,1013,1013,1121,1174,1203,1203,1266,1266,1291,1336,1370,1445,1445,1490,1490,1517,1561,1575,1618,1647,1647,1724,1795,1824,1853,1948,1948,1998,2053,2087,2112,2145,2171,2171,2224,2232,2255,2288,2315,2330,2330,2353,2360,2376,2392,2407,2428,2428,2444,2446,2467,2479,2507,2517,2517,2530,2541,2550,2558,2562,2573,2573,2597,2601,2623,2632,2632,2632,2632,2659,2669,2680,2694,2709,2709,2709,2745,2756,2775,2783,2790,2790,2790,2822,2835,2849,2869,2878,2878,2878,2904,2916,2916,2940,2947,2947,2947,2978,2990,3008,3028,3053,3053,3053,3053,3128,3149,3170,3198,3198,3198,3300,3328,3328,3392,3392,3419,3419,3500,3523,3562,3591,3641,3641,3641,3641,3787,3834,3881,3934,3934,3934,4065,4111,4111,4274,4358,4358,4358,4358,4677,4745,4745,4915,4915,4915,5184,5242,5304,5372,5496,5496,5496,5790,5848,5952,6041,6162,6162,6162,6162,6591,6591,6830,6962,6962,6962,7279,7376,7498,7663,7842,7842,7842,8208,8304,8395,8395,8641,8641,8641,8908,9013,9138,9220,9381,9381,9381,9739,9841,9956,10066,10185,10185,10185,10185,10734,10892,11034,11189,11189,11189,11687,11854,12057,12057,12554,12554,12554,13371,13588,13875,14109,14381,14381,14381,15501,15800,16135,16560,17149,17716,17716,18714,19239,19239,20369,20986,20986,20986,22945,23662,24422,24960,25474,25474,25474,27407,28348,29086,29973,30884,30884,30884,33238,33894,34728,35422,36132,36132,36132,38152,38718,39337,40060,40797,40797,40797,42943,43463,44103,44776,45400,45400,45400,47067,47510,48027,48609,48609,48609,48609,48609,50815,51300,51990,51990,51990,51990,54201,54629,55254,56015,56632,56632,56632,58107,58553,59072,59608,60117,60117,60117,61447,61912,62412,62976,63484,63484,63484,64828,65234,65719,66265,66779,66779,66779,67937,68366,68780,69245,69716,69716,69716,70952,71387,71856,72305,72750,72750,72750,72750,74283,74710,75327,75835,75835,75835,77263,77822,78278,78673,79194,79194,79194,80672,81367,81909,82473,83107,83107,83107,84569,85119,85650,86219,86867,86867,86867,88373,88929,89427,90049,90786,90786,90786,92571,93253,93969,94769,95677,95677,95677,98195,99035,100048,100880,100880,100880,100880,100880,105988,106985,108278,109540,109540,109540,112829,113702,114870,116075,117080,117080,117080,120040,120889,121751,122757,123758,123758,123758,126249,127048,127889,128742,129482,129482,129482,131656,132353,132925,133619,134341,134341,134341,136108,136623,137223,137810,138304,138304,138304,139664,140075,140596,140953,141373,141373,141373,141373,142636,142886,143264,143581,143581,143581,144289,144473,144667,144866,145049,145049,145049,145530,145695,145843,145996,146176,146176,146176,146453,146561,146674,146794,146902,146902,146902,147131,147187,147271,147346,147418,147418,147418,147549,147578,147621,147621,147705,147705,147705,147790,147797,147856,147919,148031,148031,148031,148154,148187,148228,148286,148331,148331,148331,148487,148563,148641,148730,148842,148842,148842,149109,149259,149444,149646,149889,149889,149889,149889,150631,150973,151375,151839,151839,151839,152918,153313,153849,154362,155079,155079,155079,156513,157014,157567,158256,158919,158919,158919,160630,161271,161969,162693,163560,163560,163560
Ontario,Canada,51.2538,-85.3232,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,6,6,11,15,18,20,20,22,25,28,29,34,36,41,42,74,79,104,177,185,221,257,308,377,425,503,588,688,858,994,1144,1355,1706,1966,2392,2793,3255,3630,4354,4347,4726,5276,5759,6237,6648,7049,7470,7953,8447,9840,10456,11013,11561,12063,12715,13718,14068,14550,15012,15568,15970,16500,16978,17395,17880,18321,18574,19097,19468,19910,20388,20826,21148,21469,21817,22158,22516,22865,23258,23645,23974,24286,24755,25197,25595,26085,26560,26897,27302,27624,27943,28320,28700,29023,29390,29845,30259,30603,30946,31359,31620,32096,32395,32678,32936,33173,33378,33625,33806,33986,34174,34382,34574,34780,35044,35217,35418,35657,35861,36046,36151,36322,36597,36823,36961,37085,37242,37407,37525,37653,37829,37917,38079,38200,38323,38398,38481,38730,38814,38918,39043,39164,39316,39434,39553,39718,39824,39936,40341,40457,40558,40673,40787,40873,40953,41178,41257,41333,41391,41495,41560,41635,41815,41894,41962,42082,42162,42233,42313,42412,42501,42563,42686,42800,42890,42983,43126,43218,43323,43454,43541,43658,43801,43919,44045,44143,44279,44418,44572,44720,44852,45019,45156,45314,45545,45724,45887,46118,46323,46485,46905,47165,47488,47688,48219,48317,48950,49442,49944,50273,50637,51166,51439,52134,52449,53115,54059,54643,55375,55522,56544,57238,57795,58202,58913,60189,61078,61678,61678,63300,64092,64826,65730,65869,67027,67749,68556,69362,70270,71140,71423,73143,73984,74867,75665,76660,77655,78532,79515,80570,81686,82687,82834,84759,85991,87205,88696,90227,91613,93145,94570,95964,97371,98778,100214,101508,102867,104307,105860,107347,108677,110066,111376,112898,114749,116517,118150,119897,121770,123639,125233,127130,128997,130962,132736,134605,136599,138529,140320,142171,143873,146067,148233,150468,152898,155180,157749,159871,162052,164318,166802,169137,169694,171892,173655,176814,179198,183104,186355,187344,191035,195368,198929,202085,205283,208691,212962,216674,220394,223857,226609,229854,233065,236127,239066,242339,244883,247144,249753,252542,255074,257403,259647,261594,263364,265150,267173,269142,271060,272917,274773,275638,276842,278304,280088,281439,282932,284138,285166,286321,287262,287873,289924,290677,291451,292735,293538,294697,295841,297011,298154,298800,300235,301379,302573,303815,304962,306057,307176,308091,309022,310165,311013,312447,313908,315460,316751,317905,319084,320494,322024,323526,324715,325826,327369,328926,330691,332485,334132,335762,337270,338740,341032,343137,345473,347783,349825,351034,356576,359074,361147,365382,367501,371317,374544,377999,381549,385604,389648,394197,398461,402003,406563,411346,416141,420241,424854,429240,432666,436693,441059,445407,449446,453337,456753,459790,463770,468485,472291,474595,477138,482447,485172,488535,491926,494884,497032,499246,503296,505364,508043,509951,513107,514907,516507,519576,521031,523186,525365,527111,528516,529748,530104,531362,532198,535087,536274,537138,537919,539196,539910,540763,541641,542526,542950,543601,544363,544636,545117,545692,546224,546624,547034,547657,547959,548388,548745,549048,549324,549553,550084,550239,550542,550848,551136,551394,551595,552006,552180,552415,552476,552857,553033,553180,553551,553651,553876,554104,554297,554424,554546,554730,554866,555016,555146,555332,555449,555589,555803,555927,556082,556282,556462,556560,556669,556930,557046,557237,557466,557703,557866,558007,558036,558466,558626,558918,559293,559504,559711,560401,560717,561132,561647,562069,562376,562656,563739,564135,564569,565336,565993,566296,566769,567937,568127,569163,569894,570699,571202,571789
Quebec,Canada,52.9399,-73.5491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,6,8,10,11,13,13,14,15,17,27,33,37,55,68,85,128,169,242,371,557,795,1140,1408,1774,2140,2591,3007,3575,4153,4881,5578,6453,7223,8029,8663,9538,10326,11012,11760,12395,13060,13850,14814,15776,16874,17838,18860,19523,20343,21252,22058,22943,23849,24704,25466,26078,26988,27908,28806,29809,30862,31761,32552,33417,34310,35343,36194,36972,37724,38377,39102,39899,40679,41379,42161,42857,43588,44258,44896,45697,46412,47017,47519,48063,48571,49019,49539,49954,50377,50775,51068,51396,51624,51901,52157,52400,52646,52835,52953,53118,53290,53444,53619,53740,53834,53946,54080,54201,54336,54469,54564,54645,54730,54824,54913,55003,55088,55176,55234,55292,55390,55463,55533,55623,55715,55772,55840,55947,56047,56177,56289,56390,56465,56602,56732,56879,57017,57213,57401,57529,57660,57810,57984,58176,58336,58498,58645,58734,58864,59041,59194,59328,59458,59550,59694,59844,59969,60061,60189,60303,60400,60500,60600,60690,60788,60863,60929,60973,61023,61104,61177,61282,61388,61460,61536,61580,61678,61804,61926,62035,62175,62293,62423,62577,62761,62988,63173,63368,63562,63753,63945,64197,64457,64763,65058,65374,65651,65972,66275,66626,67113,67610,68113,68591,69113,69801,70527,71270,72183,73033,73942,74900,75917,76874,78043,79198,80247,81092,82093,83069,84166,85306,86216,87296,88092,89041,90138,91285,92419,93474,94448,95294,96332,97313,98245,99281,100119,100944,101933,102903,103894,104958,105911,106894,107918,108814,109878,111042,112313,113509,114747,116050,117257,118562,119952,121284,122659,123898,125011,126036,127162,128366,129674,130821,131937,133144,134221,135452,136835,138170,139443,140874,142256,143522,145039,146584,148087,149853,151496,153032,154658,156317,158063,159823,161734,163726,165488,167376,169164,171282,173598,175716,177772,179737,181844,183998,186221,188618,190916,193003,195161,197468,200327,203129,205661,208390,210797,212962,215517,218103,220970,223803,226549,228557,230590,232383,234567,236581,238528,240410,242336,243849,245187,246704,248277,250073,251607,252937,254102,255320,256671,257944,259231,260512,261745,262623,263599,264766,265848,266928,268147,269193,270030,270807,271776,272938,273953,274974,275807,276530,277201,278048,278830,279690,280468,281186,282002,282638,283469,284324,285136,286006,286714,287289,287874,288637,289322,290181,290885,291628,292239,292852,293648,294366,295122,295934,296594,297201,297774,298495,299224,299986,300792,301473,302138,302846,303611,304641,305648,306657,307588,308412,309354,310351,311776,313062,314350,315640,316776,317995,319304,320946,322666,324533,326165,327660,329082,330615,332132,333814,335270,336562,337587,338775,339999,341199,342293,343211,344410,345301,346270,347353,348423,349538,350711,351631,352408,353258,354163,355057,356097,357104,357918,358629,359300,360134,360992,361880,362670,363329,363888,364465,365049,365849,366525,367080,367575,367924,368307,368706,369167,369580,369980,370283,370556,370805,371088,371384,371655,371889,372101,372254,372417,372616,372771,372987,373150,373283,373402,373512,373686,373836,373995,374125,374213,374307,374400,374528,374608,374689,374793,374872,374921,375018,375123,375197,375276,375342,375404,375444,375522,375609,375678,375751,375823,375883,375937,375997,376077,376109,376149,376192,376289,376370,376431,376416,376519,376429,376530,376651,376753,376828,376901,377034,377172,377297,377486,377644,377798,377973,378157,378462,378680,378915,379189,379439,379673,380038,380407,380833,381266,381587,381996,382319,382755,383191,383718,384281,384744,385120,385465,386015,386618,387230,387834,388413
,Iran,32.427908,53.688046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,18,28,43,61,95,139,245,388,593,978,1501,2336,2922,3513,4747,5823,6566,7161,8042,9000,10075,11364,12729,13938,14991,16169,17361,18407,19644,20610,21638,23049,24811,27017,29406,32332,35408,38309,41495,44605,47593,50468,53183,55743,58226,60500,62589,64586,66220,68192,70029,71686,73303,74877,76389,77995,79494,80868,82211,83505,84802,85996,87026,88194,89328,90481,91472,92584,93657,94640,95646,96448,97424,98647,99970,101650,103135,104691,106220,107603,109286,110767,112725,114533,116635,118392,120198,122492,124603,126949,129341,131652,133521,135701,137724,139511,141591,143849,146668,148950,151466,154445,157562,160696,164270,167156,169425,171789,173832,175927,177938,180156,182525,184955,187427,189876,192439,195051,197647,200262,202584,204952,207525,209970,212501,215096,217724,220180,222669,225205,227662,230211,232863,235429,237878,240438,243051,245688,248379,250458,252720,255117,257303,259652,262173,264561,267061,269440,271606,273788,276202,278827,281413,284034,286523,288839,291172,293606,296273,298909,301530,304204,306752,309437,312035,314786,317483,320117,322567,324692,326712,328844,331189,333699,336324,338825,341070,343203,345450,347835,350279,352558,354764,356792,358905,361150,363363,365606,367796,369911,371816,373570,375212,376894,378752,380746,382772,384666,386658,388810,391112,393425,395488,397801,399940,402029,404648,407353,410334,413149,416198,419043,422140,425481,429193,432798,436319,439882,443086,446448,449960,453637,457219,461044,464596,468119,471772,475674,479825,483844,488236,492378,496253,500075,504281,508389,513219,517835,522387,526490,530380,534631,539670,545286,550757,556891,562705,568896,574856,581824,588648,596941,604952,612772,620491,628780,637712,646164,654936,663800,673250,682486,692949,703288,715068,726585,738322,749525,762068,775121,788473,801894,815117,828377,841308,854361,866821,880542,894385,908346,922397,935799,948749,962070,975951,989572,1003494,1016835,1028986,1040547,1051374,1062397,1072620,1083023,1092407,1100818,1108269,1115770,1123474,1131077,1138530,1145651,1152072,1158384,1164535,1170743,1177004,1183182,1189203,1194963,1200465,1206373,1212481,1218753,1225142,1231429,1237474,1243434,1249507,1255620,1261903,1268263,1274514,1280438,1286406,1292614,1299022,1305339,1311810,1318295,1324395,1330411,1336217,1342134,1348316,1354520,1360852,1367032,1372977,1379286,1385706,1392314,1398841,1405414,1411731,1417999,1424596,1431416,1438286,1445326,1452380,1459370,1466435,1473756,1481396,1488981,1496455,1503753,1510873,1518263,1526023,1534034,1542076,1550142,1558159,1566081,1574012,1582275,1590605,1598875,1607081,1615184,1623159,1631169,1639679,1648174,1656699,1665103,1673470,1681682,1689692,1698005,1706559,1715162,1723470,1731558,1739360,1746953,1754933,1763313,1771115,1778645,1786265,1793805,1801065,1808422,1815712,1823317,1830823,1838803,1846923,1855674,1864984,1875234,1885564,1897314,1908974,1920394,1932074,1945964,1963394,1984348,2006934,2029412,2049078,2070141,2093452,2118212,2143794,2168872,2194133,2215445,2237089,2261435,2286927,2311813,2335905,2358809,2377039,2396204,2417230,2438193,2459906,2479805,2499077,2516157,2534855,2555587,2575737,2591609,2610018,2627094,2640670,2654811,2673219,2691352,2707761,2722007,2732152,2739875,2751166,2765485,2779415,2792204,2804632,2815882,2823887,2832518,2843523,2855396,2865864,2875858,2886111,2893218,2902094,2913136,2923823,2935443,2945100,2954309,2960751,2966363,2971270,2980116,2990714,3003112,3013078,3020522,3028717,3039432,3049648,3060135,3070426,3080526,3086974,3095135,3105620,3117336,3128395,3140129,3150949,3157983,3167741,3180092,3192809,3204557,3218860,3232696,3241037,3254818,3270843,3286923,3304135,3327526,3344122,3355786,3373450,3394279,3417029,3440400,3464055,3485940,3501079,3523263,3548704,3576148,3603527,3623840,3645654,3664286,3691432,3723246,3758197,3792014,3826447,3851162,3871008,3903519,3940708,3979727,4019084,4057758,4092671,4119110,4158729,4199537,4238676,4281217,4320266,4359385,4389085,4425821,4467015,4517243,4556417,4587683,4616516,4640695,4677114,4715771,4756394,4796377,4833135,4869414,4895448,4926964
